id,title,description,start_date,language
51150,AI-Enabled Edge Microwave Sensor for Harsh Environment Applications,"The “AI-Enabled Edge Microwave Sensor for Harsh Environment Applications” project aims to develop intelligent microwave sensing platforms capable of reliable operation in extreme environmental conditions such as ice, moisture, temperature fluctuations, mechanical stress, and electromagnetic interference. The research integrates microwave and RF sensor design, edge artificial intelligence, embedded systems, and advanced materials to enable real-time environmental monitoring and decision-making directly at the sensing node. The project focuses on designing compact, lightweight, and low-power microwave sensors and antennas that can detect environmental changes through variations in electromagnetic response. Edge AI algorithms will be incorporated to process sensor data locally, reducing latency, communication bandwidth, and power consumption while improving system autonomy and reliability in remote or resource-constrained environments. A key aspect of the research involves investigating advanced manufacturing approaches, including additive manufacturing and multilayer conductive structures, to create scalable and cost-effective sensing devices with enhanced electromagnetic performance. The project also explores sensor fusion and adaptive calibration techniques to improve robustness and accuracy under dynamically changing environmental conditions. Potential applications include aerospace systems, autonomous vehicles, smart infrastructure, industrial monitoring, environmental sensing, and remote surveillance platforms operating in harsh or inaccessible environments. The outcome of this research is expected to contribute to the development of next-generation intelligent sensing technologies that combine microwave engineering with edge intelligence for resilient, real-time operation in demanding scenarios.",2027-05-03,English
51152,"Mapping Disasters, Displacement and Development to build Community Resilient Futures","The research project focuses on mapping disasters and displacement patterns of communities from the selected country. In brief, after any natural disaster (earthquakes, floods, landslides, wildfires) or other crisis ( like the current COVID-19 pandemic), both the government agencies and humanitarian organizations, including development aid agencies, need to know where affected people are located ( or displaced) and what resources do they need to rebuild their livelihoods. While identifying and classifying the patterns of displacements ( or evacuations) of people, families, and communities during and after the disaster events is critical to aiding delivery and development planning, it is often complex and challenging. Activities to capture quickly through conventional research methods. This project aims to apply aggregate usage patterns of social media apps like Facebook, WhatsApp, or other mobile technologies can help fill these information gaps. As part of the proposed research intern opportunity, we will investigate the use, relevance, and application of Facebook Disaster Maps. For example, these maps can be created by the research interns by utilizing information about Facebook usage/ other mobile Apps in areas impacted by natural hazards. By doing so, we can produce aggregate pictures(maps, visual models) of how the population is affected by and responding to the risks. The maps will provide insights into evacuations, mobile cell network connectivity, access to electricity, and long-term displacement patterns. These research results are powerful as they are built on robust data and use the proper research methods. By doing so, we will be able to make evidence-based policy recommendations to agencies involved in disaster management.",2027-05-03,English
51157,Machine Learning for Society,"The student will first learn about machine learning and specific algorithms through completion of DataCamp modules. Then, they will work on a publicly available data set with the other students in my lab to learn how to apply machine learning algorithms on large data sets and interpret the results. Depending on the results, we could disseminate the findings at conferences or in journal venues.",2027-05-03,English
51160,Automated software refactoring using LLMs,"We aim to develop a GitHub App that uses LLMs to analyze each new commit, figure out the need for a refactoring, and perform refactoring using LLMs. Responses from LLMs are not always reliable. This project will implement necessary checks to ensure that the new refactored code reflects the intended change. After this quality assurance check, the application will raise a PR so that developers can check the refactored code before accepting the changes.",2027-05-03,English
51163,Automated Software Engineering with AI Agents,"We aim to automate software engineering workflows (such as code quality checks, testing, and vulnerability analysis) using AI agents. We will develop agents that will not only detect issues in source code and other artifacts but also attempts to fix the issues automatically.",2027-05-03,English
51166,"Scalable Federated Learning on Large-Scale Data: Performance, Privacy, and Communication Trade-offs","This project investigates how federated learning (FL) systems perform when scaled to large datasets distributed across many clients. Using frameworks such as Flower or TensorFlow Federated, the student(s) will design and implement a distributed training pipeline where data remains decentralized and only model updates are shared. The study focuses on three core aspects: (1) performance under realistic conditions such as non-IID data distributions, (2) the impact of lightweight privacy mechanisms (e.g., noise injection) on model accuracy, and (3) communication efficiency as the number of clients and data volume increase. Through systematic experiments and analysis, the project aims to quantify the trade-offs between scalability, accuracy, privacy, and communication cost, providing practical insights into deploying federated learning in real-world big data settings.",2027-05-03,English
51185,Artificial Intelligence and TensorFlow for High Speed Video Analysis,"This project applies machine learning techniques to the automated high-speed video images of molten metal in welding. The machine learning approach is based on the Convolution Neural Network (CNN) and deep learning techniques, which have attracted a lot of attention for automated image identification and regression. Currently, the identification and quantification of high-speed images can only be done reliably by an expert, which is a tedious and slow process that can be applied only to a relatively small number of selected images (of the order of tens or hundreds, definitely not thousands or higher). The project aims to open the possibility of automated survey of an existing database of images and builds on work currently carried out at the CCWJ. This project is setting the basis for a “big data” approach to research.",2027-05-03,English
51193,AI-Driven Adaptive User Interface,"In this project, we aim to explore artificial intelligence (AI) techniques in human-computer interaction (HCI) systems to enhance user experiences and optimize usability. Specifically, we will leverage advancements in AI to design novel approaches for dynamically adapting interfaces and personalizing interactions with devices. By combining AI algorithms with HCI design principles, we plan to develop intelligent interfaces capable of understanding and responding to user behaviors, preferences, and contextual cues in real-time. Ultimately, the goal is to empower users with intelligent systems that anticipate their needs, adapt to their preferences, and enhance their overall experience with digital technology.",2027-05-03,English
51204,Machine Learning Techniques and Tools for Detecting Anomalies in Complex Networks,"My research program focuses on developing methods and tools for improving reliability of routing protocols in communication networks. Of particular interest are the Internet cyberattacks that adversely affect operations of academic institutions, companies, and government organizations as well as disruptions of Internet services during recent international conflicts. The proposed research program encompasses characterization and modeling of network traffic based on data collected from deployed and experimental networks, application of machine learning algorithms in detecting Internet anomalies and intrusions, and development of software tools for evaluating network performance. My objective is to develop new and fast machine learning techniques for analysis of complex networks such as the Internet and the human brain. Machine learning algorithms will be employed to classify and detect network anomalies including Internet denial of service attacks, worms, viruses, power outages, and ransomware attacks that affect performance of the Internet routing protocols. New and improved machine learning algorithms will be designed to enable fast training of machine learning models based on approaches such as convolutional neural networks, recurrent networks, reservoir and echo state networks, gradient boosting decision trees, and broad learning systems with and without incremental learning. The algorithms will be used to develop machine learning models that are suitable for fast detection of Internet anomalies and intrusions, thus, enabling their prompt detection and prevention. Training and test of these models using large datasets will be performed using the Compute Canada clusters. Research results emanating from the proposed program will improve our understanding of the underlying mechanisms that govern the behaviour of complex networks such as the Internet and the human brain. They will enhance network security and help improve network performance. Research outcomes will include new developed software tools and a library of models that will be made available to the research community.",2027-06-01,English
51206,Machine Learning-Assisted Materials Design,"I invite applicants to join a highly collaborative and interdisciplinary research team, and work closely with partners from government and industry. A range of projects are available depending on applicant interests and these span the following applications: • Design and advanced manufacturing of next-generation lightweight materials for personal and vehicle protection • Characterization of bio-materials (e.g., brain and bone) and development of synthetic materials. • Design and advanced manufacturing of coatings and structures for use in conventional and clean energy applications Students will receive structured technical training using Canadian-leading state-of-the-art experimental (e.g., ultra-high-speed cameras) and computational tools (e.g., high performance clusters). Students will also receive Professional Development training (e.g., career development, entrepreneurship) and individualized mentorship. These skills will be important for long-term careers as engineers and scientists. Check my group’s website for opportunities for you to learn and grow: https://sites.ualberta.ca/~jdhogan/",2027-05-03,English
